--------- beginning of main
05-24 14:44:30.589 16338 16358 I Unity   : UnityEngine.Physics:OnSceneContact(PhysicsScene, IntPtr, Int32)
05-24 14:44:30.589 16338 16358 I Unity   : 
05-24 14:44:30.611 16338 16358 I Unity   : trigger enter
05-24 14:44:30.778 16338 16358 I Unity   : trigger enter
05-24 14:44:30.917 16338 16358 I Unity   : trigger enter
05-24 14:44:30.931 16338 16358 I Unity   : trigger enter
05-24 14:44:31.057 16338 16358 I Unity   : RightHandAnchor released Knife
05-24 14:44:31.057 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:31.057 16338 16358 I Unity   : 
05-24 14:44:31.058 16338 16358 I Unity   : detach_from {0}(-0.28, 0.58, -0.56)
05-24 14:44:31.058 16338 16358 I Unity   : Grabbable:detach_from(HandController, Vector3, Vector3)
05-24 14:44:31.058 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:31.058 16338 16358 I Unity   : 
05-24 14:44:31.058 16338 16358 I Unity   :  hand releasing velocity (-0.28, 0.58, -0.56)
05-24 14:44:31.058 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:31.058 16338 16358 I Unity   : 
05-24 14:44:31.070 16338 16358 I Unity   : trigger enter
05-24 14:44:31.362 16338 16358 I Unity   : trigger enter
05-24 14:44:31.488 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:31.488 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:31.488 16338 16358 I Unity   : 
05-24 14:44:31.489 16338 16358 I Unity   : RightHandAnchor grasped Tomato
05-24 14:44:31.489 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:31.489 16338 16358 I Unity   : 
05-24 14:44:31.501 16338 16358 I Unity   : trigger enter
05-24 14:44:31.669 16338 16358 I Unity   : RightHandAnchor released Tomato
05-24 14:44:31.669 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:31.669 16338 16358 I Unity   : 
05-24 14:44:31.670 16338 16358 I Unity   : detach_from {0}(0.75, 0.36, -0.23)
05-24 14:44:31.670 16338 16358 I Unity   : Grabbable:detach_from(HandController, Vector3, Vector3)
05-24 14:44:31.670 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:31.670 16338 16358 I Unity   : 
05-24 14:44:31.670 16338 16358 I Unity   :  hand releasing velocity (0.75, 0.36, -0.23)
05-24 14:44:31.670 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:31.670 16338 16358 I Unity   : 
05-24 14:44:32.086 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:32.086 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:32.086 16338 16358 I Unity   : 
05-24 14:44:32.142 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:32.142 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:32.142 16338 16358 I Unity   : 
05-24 14:44:32.198 16338 16358 I Unity   : LeftHandAnchor closed
05-24 14:44:32.198 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:32.198 16338 16358 I Unity   : 
05-24 14:44:32.531 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:32.531 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:32.531 16338 16358 I Unity   : 
05-24 14:44:33.759 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:33.759 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:33.759 16338 16358 I Unity   : 
05-24 14:44:33.759 16338 16358 I Unity   : RightHandAnchor grasped Lettuce
05-24 14:44:33.759 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:33.759 16338 16358 I Unity   : 
05-24 14:44:34.691 16338 16358 I Unity   : trigger enter
05-24 14:44:34.788 16338 16358 I Unity   : trigger enter
05-24 14:44:34.955 16338 16358 I Unity   : trigger enter
05-24 14:44:34.998 16338 16358 I Unity   : RightHandAnchor released Lettuce
05-24 14:44:34.998 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:34.998 16338 16358 I Unity   : 
05-24 14:44:34.998 16338 16358 I Unity   : detach_from {0}(-0.17, -0.44, -0.26)
05-24 14:44:34.998 16338 16358 I Unity   : Grabbable:detach_from(HandController, Vector3, Vector3)
05-24 14:44:34.998 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:34.998 16338 16358 I Unity   : 
05-24 14:44:34.998 16338 16358 I Unity   :  hand releasing velocity (-0.17, -0.44, -0.26)
05-24 14:44:34.998 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:34.998 16338 16358 I Unity   : 
05-24 14:44:35.011 16338 16358 I Unity   : trigger enter
05-24 14:44:35.151 16338 16358 I Unity   : LeftHandAnchor closed
05-24 14:44:35.151 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:35.151 16338 16358 I Unity   : 
05-24 14:44:35.722 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:35.722 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:35.722 16338 16358 I Unity   : 
